Image,SSIM_Content_Stylized,SSIM_Style_Stylized,LPIPS_Content_Stylized,LPIPS_Style_Stylized
final_image_high_style.png,0.10349458456039429,0.021157316863536835,0.7649773359298706,0.4176679849624634
final_image_low_style.png,0.24889634549617767,0.02034725807607174,0.5947524309158325,0.46410098671913147
final_image_medium_style.png,0.12701073288917542,0.023763693869113922,0.7358081340789795,0.4094846248626709
final_image_one_style.png,0.10430397093296051,0.020577779039740562,0.7641034722328186,0.4102214574813843
optimized_texture_lambda_0.01_19.png,0.0720742717385292,0.03512255847454071,0.6100631952285767,0.29138070344924927
optimized_texture_lambda_0.1_19.png,0.18690253794193268,0.03670205920934677,0.5684091448783875,0.32112395763397217
optimized_texture_lambda_0.5_19.png,0.2836191952228546,0.027887625619769096,0.5495856404304504,0.35349398851394653
optimized_texture_lambda_1.0_19.png,0.2702219784259796,0.026421360671520233,0.5306516885757446,0.37021201848983765
optimized_texture_lambda_10.0_19.png,0.26227420568466187,0.02317148633301258,0.4574691355228424,0.5111352801322937
optimized_texture_lambda_100.0_19.png,0.39498236775398254,0.03604038432240486,0.12517009675502777,0.5602321028709412
